dates,satname,nzd0434-0000,nzd0434-0001,nzd0434-0002,nzd0434-0003,nzd0434-0004,nzd0434-0005,nzd0434-0006,nzd0434-0007,nzd0434-0008,nzd0434-0009,nzd0434-0010,nzd0434-0011,nzd0434-0012,nzd0434-0013,nzd0434-0014,nzd0434-0015,nzd0434-0016,nzd0434-0017,nzd0434-0019,nzd0434-0020,nzd0434-0021,nzd0434-0022,nzd0434-0023,nzd0434-0024,nzd0434-0025,nzd0434-0029,nzd0434-0030,nzd0434-0031,nzd0434-0032,nzd0434-0034,nzd0434-0035,nzd0434-0036,nzd0434-0018,nzd0434-0026,nzd0434-0027,nzd0434-0028,nzd0434-0033
2018-10-07 22:25:57.862000,L8,281.16,274.06,287.89,325.80,338.11,341.17,338.85,333.25,335.70,336.43,337.94,340.45,336.93,328.42,326.88,332.00,338.34,340.84,334.48,344.66,344.55,351.87,333.41,324.14,327.83,301.02,305.88,277.65,304.86,336.14,285.36,327.83,341.23,322.38,301.50,294.62,338.85
2018-12-26 22:26:02.982000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289.95,,,,,
2019-01-11 22:26:01.243000,L8,223.04,227.46,235.53,245.97,257.64,254.45,233.32,246.20,228.83,240.17,259.59,351.15,347.57,338.83,371.77,361.62,361.77,371.32,398.12,,,,,,,,,324.96,330.68,,158.80,311.93,402.21,,,,336.45
2019-02-05 22:19:45.318000,L8,224.68,230.10,241.84,247.74,330.40,331.16,333.27,328.10,320.58,242.46,265.73,225.67,218.03,229.02,213.91,215.94,189.39,,,414.87,429.17,433.51,405.14,393.94,,,,,,327.78,324.14,325.43,,,,,317.58
2019-02-28 22:25:51.358000,L8,223.24,229.24,240.44,245.17,258.11,254.27,233.85,246.48,231.63,235.06,260.05,228.93,219.16,229.42,221.52,226.40,192.51,402.58,418.07,394.02,,,,,,,,,,330.50,306.93,337.16,416.01,,,,
2019-04-01 22:25:42.620000,L8,304.89,279.99,275.39,312.65,312.52,321.27,320.27,286.86,339.99,240.47,300.64,339.13,347.02,309.96,345.30,354.26,319.30,371.25,,,,,,,,323.01,318.02,311.71,306.33,322.94,156.34,329.91,,373.17,350.62,333.72,313.30
2019-04-17 22:25:36.915000,L8,223.36,227.89,239.08,243.81,258.59,255.29,234.40,242.75,231.34,229.70,253.86,226.78,217.13,223.34,223.15,202.82,225.34,,,,,,,,,,,,,,153.91,332.80,,,,,
2019-05-12 22:19:32.441000,L8,326.34,308.74,319.54,326.20,342.85,347.64,341.72,348.53,348.25,339.04,334.65,349.10,349.48,324.21,229.87,216.13,226.30,408.57,432.81,439.96,439.30,429.30,426.97,,,,348.20,341.63,349.76,,153.65,333.80,411.79,,,,
2019-05-19 22:25:47.593000,L8,,231.74,244.70,254.69,268.14,323.24,320.35,349.55,340.48,339.62,345.94,348.48,351.91,371.86,377.06,370.31,384.57,,394.55,416.28,409.62,416.57,405.71,411.72,,,,323.23,324.71,325.32,321.39,335.42,369.95,,,,325.36
2019-07-06 22:26:05.791000,L8,,,,240.62,258.54,243.59,227.49,229.06,226.25,200.74,218.69,220.89,212.84,212.83,211.52,191.78,187.56,,,,,,,,,,,,,,,245.53,,,,,
2019-07-31 22:20:02.646000,L8,,,,,,,,,,,179.05,205.75,197.18,197.53,189.67,179.43,174.17,,,,,,,,,,,,,,,334.38,,,,,
