dates,satname,nzd0167-0000,nzd0167-0001,nzd0167-0002,nzd0167-0007,nzd0167-0008,nzd0167-0009,nzd0167-0010,nzd0167-0003,nzd0167-0004,nzd0167-0005,nzd0167-0006
2023-04-07 22:05:40.262000,L8,291.11,323.64,289.50,314.45,313.58,297.48,297.89,,265.21,272.46,287.55
2023-05-16 22:11:04.371000,L8,,305.78,,,,,,,,,
2023-05-24 22:11:17.213000,L9,,288.30,,,,,,,,,
2023-06-09 22:11:12.914000,L9,,305.34,,,,,,,,,
2023-08-05 22:05:23.191000,L9,,304.38,,,,,,,,,
2023-08-21 22:05:28.170000,L9,,305.66,,,,,,,,,
2023-08-21 22:05:52.129000,L9,285.33,316.42,289.18,307.21,305.57,294.87,282.88,,,,262.83
2023-08-28 22:11:44.258000,L9,,295.09,,,,,,,,,
2023-09-05 22:11:46.771000,L8,,304.45,,,,,,,,,
2023-10-08 22:05:46.354000,L9,280.29,312.97,286.21,298.46,304.60,291.84,278.01,,,,
2023-10-08 22:06:10.308000,L9,,304.19,,,,,,,,,
2023-11-01 22:06:14.963000,L8,,317.02,211.41,,,,,,,,
2023-11-08 22:11:57.030000,L8,294.35,316.67,289.53,314.67,315.06,303.65,302.88,319.82,314.58,296.14,276.38
2023-11-25 22:05:56.641000,L9,205.17,318.57,289.93,317.60,320.72,197.79,290.60,307.44,318.99,271.34,288.28
2023-11-25 22:06:20.599000,L9,,311.61,280.08,292.38,250.71,,,,,,
2023-12-19 22:05:51.242000,L8,288.16,314.22,281.09,294.78,297.50,289.43,300.48,,,,270.17
2024-01-11 22:11:56.446000,L8,,305.50,,,,,,,,,
2024-01-12 22:05:54.962000,L9,320.86,320.66,300.60,321.92,340.97,315.00,322.20,330.50,324.79,276.48,294.32
2024-01-12 22:06:18.916000,L9,289.53,313.60,275.31,302.93,310.90,291.11,303.00,,,,270.26
2024-01-28 22:05:54.259000,L9,290.81,312.57,273.93,303.38,310.16,293.20,299.51,,,,287.62
2024-02-04 22:12:07.739000,L9,,307.84,278.63,,,,,,,,
2024-02-05 22:05:44.082000,L8,195.13,305.76,,264.74,300.53,286.10,,,,,
2024-02-05 22:06:08.032000,L8,287.08,311.95,285.13,288.38,307.16,293.11,293.45,,238.89,269.77,276.71
2024-02-12 22:11:54.234000,L8,175.57,307.67,275.75,,308.28,220.22,,,,,
2024-02-13 22:06:17.947000,L9,295.38,182.70,288.15,301.94,311.96,298.99,301.03,250.59,236.67,205.09,227.93
2024-02-20 22:11:56.095000,L9,,280.61,,,,,,,,,
2024-02-29 22:05:47.517000,L9,203.22,,,,301.26,215.64,202.06,,,,
2024-02-29 22:06:11.471000,L9,200.76,,,,299.88,213.67,200.70,,,,
2024-03-15 22:11:37.973000,L8,292.17,309.73,278.63,287.94,305.95,287.60,295.04,,,,
2024-04-08 22:11:47.225000,L9,286.60,312.43,280.30,,308.83,291.87,285.57,,,,
2024-05-03 22:05:38.004000,L9,,309.21,,281.50,294.19,,,,,,
2024-05-10 22:11:24.784000,L9,,302.21,,,,,,,,,
2024-05-11 22:05:15.899000,L8,290.07,316.96,,303.04,223.27,290.75,290.07,,,,245.01
2024-05-18 22:10:55.940000,L8,205.73,313.05,285.56,301.46,306.97,290.17,205.11,,,,
2024-08-06 22:11:21.454000,L8,,307.83,,,,,,,,,
2024-09-08 22:05:24.068000,L9,,308.73,,,,,,,,,
2024-09-08 22:05:48.031000,L9,,309.96,,,,,,,,,
2024-11-11 22:06:03.683000,L9,275.46,306.82,219.58,282.50,301.45,287.20,,,,,255.58
2024-11-18 22:11:59.014000,L9,,306.70,,,,,,,,,
2024-12-04 22:12:00.480000,L9,280.89,308.29,,282.59,307.85,290.63,201.60,,,,267.65
2024-12-28 22:11:50.695000,L8,,309.00,284.10,,,,,,,,
2025-01-06 22:05:42.612000,L8,250.22,311.29,277.02,306.30,307.79,294.37,290.90,,,,272.91
2025-01-06 22:06:06.570000,L8,277.77,307.01,221.99,281.38,301.59,286.64,,,,,
2025-01-13 22:11:54.516000,L8,288.38,313.08,275.61,306.08,309.66,294.80,294.05,,,,270.44
2025-02-06 22:11:55.429000,L9,293.44,310.25,281.71,279.49,309.12,288.35,301.50,,,,249.08
2025-02-07 22:05:41.306000,L8,282.30,306.08,225.56,,297.93,249.47,282.88,,,,
2025-02-07 22:06:05.260000,L8,286.09,310.61,284.18,304.51,302.47,295.53,289.93,,,,
2025-02-23 22:05:55.493000,L8,,302.66,,,,,,,,,
2025-04-11 22:11:41.675000,L9,286.78,314.33,288.06,309.29,310.38,302.65,289.20,,,,243.61
2025-04-12 22:05:36.436000,L8,,303.61,,,,,,,,,
