dates,satname,nzd0334-0000,nzd0334-0001,nzd0334-0002,nzd0334-0003,nzd0334-0004,nzd0334-0005,nzd0334-0006,nzd0334-0007,nzd0334-0008,nzd0334-0009,nzd0334-0010,nzd0334-0011,nzd0334-0012,nzd0334-0013,nzd0334-0014,nzd0334-0015,nzd0334-0016,nzd0334-0017,nzd0334-0018,nzd0334-0019,nzd0334-0020,nzd0334-0021,nzd0334-0022
2005-06-01 21:48:30.637000,L5,,,,,,,,,,,310.32,323.20,325.23,318.62,265.82,226.00,222.67,244.63,269.57,330.67,322.20,330.77,342.92
2005-06-10 21:42:24.190000,L5,353.66,359.17,373.36,379.93,372.05,367.68,361.59,376.21,365.89,375.51,359.52,368.84,372.78,360.46,361.46,364.11,368.45,377.02,378.33,370.36,360.74,363.90,374.44
2005-06-26 21:42:28.501000,L5,339.03,344.65,359.49,365.36,359.96,355.71,357.48,362.89,361.45,361.31,357.64,364.53,366.43,361.73,354.81,354.44,363.31,370.19,367.50,368.17,358.08,362.45,370.80
2005-07-12 21:42:35.336000,L5,251.05,244.93,221.98,237.81,266.07,253.41,287.09,299.94,311.62,306.27,313.54,326.02,328.67,308.57,270.92,233.42,238.26,250.09,274.66,330.26,322.27,325.45,338.73
2005-07-28 21:42:45.778000,L5,315.95,322.84,342.37,361.05,367.65,369.44,377.85,377.71,366.54,373.88,362.69,372.64,368.54,360.31,356.06,363.19,368.44,382.03,377.36,433.69,440.41,459.49,471.93
2005-08-20 21:48:42.854000,L5,358.44,347.06,366.55,387.17,382.73,384.27,373.64,379.85,363.49,382.09,391.02,381.67,382.34,379.49,381.94,460.65,385.69,420.95,395.42,384.93,366.93,385.16,388.49
2005-08-29 21:42:58.794000,L5,364.84,359.40,382.76,400.28,397.55,391.38,387.27,382.05,378.29,374.61,381.66,385.11,385.78,380.31,395.05,455.11,390.43,417.30,395.42,382.34,379.91,390.79,402.65
2005-09-30 21:42:58.225000,L5,312.21,310.93,332.66,343.44,344.85,341.55,340.95,344.93,343.27,346.89,345.62,348.68,354.80,355.00,353.08,350.02,363.40,372.91,362.67,362.81,360.37,361.43,373.03
2005-11-08 21:49:16.532000,L5,,,,,,385.11,384.91,383.09,384.67,386.24,369.03,368.60,369.64,369.76,362.43,362.46,370.32,386.62,391.30,385.63,382.79,378.23,388.75
2005-11-17 21:43:19.361000,L5,385.58,418.91,432.44,429.79,410.42,401.88,385.29,387.79,379.03,380.59,363.01,372.73,373.91,384.19,374.96,382.60,384.49,398.33,386.84,386.92,371.72,371.41,380.15
2006-01-20 21:44:49.210000,L5,393.94,424.17,412.35,399.16,407.32,384.71,387.28,387.50,384.90,377.28,371.07,371.61,373.24,369.99,364.44,373.20,378.89,383.32,380.75,383.45,374.78,370.97,376.82
2006-01-27 21:50:46.347000,L5,284.81,273.45,302.39,263.50,320.52,331.41,327.65,329.49,338.47,344.80,338.72,347.64,347.55,343.74,343.34,338.24,348.61,355.58,354.09,362.39,462.48,477.73,478.54
