dates,satname,nzd0157-0000,nzd0157-0001,nzd0157-0002,nzd0157-0003,nzd0157-0004,nzd0157-0005,nzd0157-0006,nzd0157-0007,nzd0157-0008,nzd0157-0009,nzd0157-0010,nzd0157-0011,nzd0157-0012,nzd0157-0013,nzd0157-0014
2007-01-05 22:00:28.480000,L5,329.61,321.59,318.92,319.62,316.34,311.38,314.48,318.24,320.74,313.99,318.80,311.62,287.26,326.02,328.05
2008-12-25 21:50:10.387000,L5,317.28,296.94,296.45,306.44,303.87,297.86,296.07,303.09,305.35,297.39,297.44,293.61,246.89,255.94,270.16
2009-12-12 21:56:13.982000,L5,,,,266.29,275.96,269.60,261.86,257.02,273.20,258.90,,,,,
2010-12-31 21:55:32.560000,L5,315.17,306.69,294.38,295.91,294.55,289.18,287.09,281.97,289.57,277.15,283.51,277.25,252.22,243.86,272.22
2011-02-01 21:55:35.620000,L5,,,,,,176.84,204.90,230.58,254.56,238.24,229.54,,,,
2013-04-11 22:07:51.092000,L8,328.53,308.34,310.94,319.57,308.41,273.55,,,302.77,299.14,311.87,308.72,279.43,,
2013-05-13 22:07:59.284000,L8,339.06,340.02,324.33,331.52,,,,,,,,,,,
2013-05-29 22:07:41.466000,L8,288.76,295.07,304.06,306.80,299.23,297.40,267.10,295.39,302.58,290.63,266.50,296.93,242.64,244.26,
2013-06-30 22:07:36.163000,L8,325.17,305.46,307.20,312.55,304.27,303.22,309.07,303.33,306.71,299.00,308.68,304.17,267.44,246.48,284.54
2013-06-30 22:08:00.117000,L8,311.82,302.54,304.62,308.94,302.25,300.98,307.21,300.51,304.16,295.89,305.75,301.53,263.11,241.58,
2013-08-17 22:08:03.120000,L8,318.03,300.71,306.10,308.41,301.62,301.02,303.76,300.43,304.33,297.40,306.23,299.97,258.86,,285.53
2013-09-02 22:07:40.639000,L8,335.47,322.75,320.79,322.98,321.34,314.88,318.80,315.50,317.85,312.66,318.94,313.37,291.04,269.46,297.55
2013-09-02 22:08:04.598000,L8,333.05,318.19,316.62,319.56,312.56,312.67,316.56,311.84,315.68,309.95,315.41,309.84,282.98,265.52,296.27
2013-10-20 22:07:26.886000,L8,337.61,323.07,319.10,323.71,316.90,314.44,317.74,314.70,318.70,312.41,315.63,309.65,289.38,306.49,295.36
2013-11-05 22:07:22.900000,L8,287.67,296.00,305.67,309.48,267.38,256.87,249.88,291.30,304.06,293.58,280.73,296.93,,,280.42
2013-11-05 22:07:46.855000,L8,287.77,295.93,304.32,309.15,299.45,300.66,266.38,290.79,303.78,293.00,280.23,296.52,,,279.48
2013-11-21 22:07:13.797000,L8,294.76,270.43,299.53,306.06,299.47,273.26,266.62,285.77,300.50,284.43,276.19,296.40,,,
2013-11-21 22:07:37.752000,L8,329.79,309.71,313.70,314.24,306.01,306.46,312.45,306.55,309.98,300.09,311.43,303.84,279.51,257.50,277.48
2013-12-07 22:07:14.870000,L8,289.35,299.25,302.14,309.55,300.64,297.88,264.93,290.12,304.10,292.95,290.82,299.63,,,
2014-01-24 22:06:45.554000,L8,320.49,432.35,545.51,318.50,315.01,311.94,317.10,313.45,315.58,311.42,318.28,312.18,282.80,260.98,294.07
2014-01-24 22:07:09.509000,L8,317.63,430.36,528.07,391.53,412.44,310.41,315.41,310.98,314.13,309.16,315.10,309.47,280.93,260.96,293.15
