dates,satname,nzd0008-0000,nzd0008-0001,nzd0008-0002,nzd0008-0003,nzd0008-0004,nzd0008-0005,nzd0008-0006,nzd0008-0007,nzd0008-0008,nzd0008-0009,nzd0008-0010,nzd0008-0011,nzd0008-0012,nzd0008-0013,nzd0008-0014,nzd0008-0015,nzd0008-0016,nzd0008-0017,nzd0008-0018,nzd0008-0019,nzd0008-0020,nzd0008-0021,nzd0008-0022,nzd0008-0023,nzd0008-0024,nzd0008-0025,nzd0008-0026,nzd0008-0027,nzd0008-0028,nzd0008-0029,nzd0008-0030,nzd0008-0031,nzd0008-0032,nzd0008-0033
2015-12-11 22:17:42.627000,L8,291.45,278.88,265.09,253.10,253.32,264.08,257.63,251.00,251.92,241.31,255.19,265.06,248.42,274.18,269.59,229.99,275.49,265.35,202.66,212.14,206.91,223.88,265.73,256.15,243.97,262.85,205.35,189.32,224.55,262.60,248.45,238.35,229.83,253.75
2015-12-27 22:17:43.409000,L8,304.06,288.03,274.40,247.85,253.88,261.41,268.39,255.30,218.16,194.84,253.81,259.15,247.28,273.04,265.71,229.90,273.44,260.89,201.82,,,,,,,,,185.88,218.61,253.73,241.09,238.37,226.53,255.08
2016-01-12 22:17:40.472000,L8,292.92,272.45,256.13,242.09,250.60,255.35,253.98,245.94,217.77,195.80,244.92,257.66,244.03,267.94,239.66,218.01,272.00,257.03,196.64,,,,,,,,,,210.79,238.49,239.97,236.53,223.47,251.06
2016-01-28 22:17:39.790000,L8,275.75,253.56,235.41,221.12,237.91,194.27,,,,,221.07,240.28,225.34,238.59,207.43,,,,,,,,,,,,,,,,227.60,218.63,214.27,228.56
2016-05-03 22:17:13.318000,L8,,,,,239.34,237.66,244.75,235.87,204.27,,,244.13,229.90,237.96,,,,,,,,,,,,,,,,,,,,
2016-05-19 22:17:11.230000,L8,295.83,279.96,271.18,265.03,264.55,270.94,271.33,265.81,272.95,242.85,259.96,280.93,256.23,287.70,291.74,231.79,276.19,266.79,286.92,235.22,282.70,263.13,265.48,266.95,252.72,295.70,251.98,207.56,245.69,288.25,271.67,259.40,242.52,268.44
2016-10-10 22:17:54.274000,L8,294.15,277.75,271.12,260.79,262.32,263.75,263.18,256.10,235.39,241.48,256.46,274.75,250.27,280.70,240.52,230.16,276.22,261.85,200.99,,,,,,241.74,252.68,191.28,191.80,224.66,257.11,251.05,241.08,232.46,249.57
2016-10-26 22:17:56.874000,L8,298.63,322.49,315.53,295.14,302.01,264.39,257.70,249.98,217.04,241.58,256.78,267.82,247.12,277.27,239.15,220.54,261.99,258.29,185.24,,,,,,,,,188.20,222.16,254.51,252.19,236.71,234.41,248.01
2017-03-03 22:17:25.727000,L8,293.00,272.89,259.07,249.24,255.40,262.24,260.50,257.00,259.20,264.80,258.76,268.41,246.08,278.59,276.62,250.59,271.84,263.25,202.93,,278.64,227.41,277.14,264.53,245.01,271.89,248.15,189.88,224.29,254.88,253.73,244.50,232.91,243.70
2017-03-19 22:17:15.956000,L8,286.07,273.48,260.27,254.30,255.27,263.93,260.26,251.42,243.63,244.45,255.45,272.47,249.22,277.70,261.52,226.39,268.35,262.10,186.66,,272.78,228.13,263.72,264.51,245.83,284.20,242.82,192.31,231.08,280.43,258.07,249.56,228.46,247.39
2017-05-06 22:16:55.401000,L8,294.10,278.53,267.07,264.05,260.63,269.01,267.59,263.49,272.58,213.61,258.92,281.76,253.57,287.51,246.51,254.76,271.86,270.85,186.78,,281.73,234.85,266.01,236.16,241.98,231.01,206.65,195.81,224.05,234.19,252.41,244.28,235.54,254.57
2017-08-10 22:17:37.375000,L8,292.37,272.75,256.62,238.66,251.81,261.85,257.87,252.24,215.25,194.42,250.82,257.34,249.45,275.11,220.60,212.45,227.23,227.18,,,,,,,,,,,,,239.89,222.23,218.09,244.63
2017-09-11 22:17:42.311000,L8,309.72,304.25,297.58,303.75,301.96,304.39,419.86,439.29,350.29,274.14,307.38,321.24,285.02,288.02,290.55,301.97,344.77,363.93,305.06,355.09,356.99,353.45,339.02,320.53,309.38,298.74,288.07,287.68,279.94,293.14,273.25,284.81,254.87,297.81
2017-10-29 22:17:53.844000,L8,275.60,258.79,250.13,235.70,244.47,239.49,243.92,238.30,209.50,,,,,,,,,,,,,,,,,,,,,,,,168.03,227.91
2017-12-16 22:17:46.727000,L8,293.55,276.46,261.10,254.77,258.59,264.42,265.82,255.83,256.64,263.08,256.83,272.33,250.81,276.34,280.49,253.04,276.37,262.02,201.13,246.97,270.45,229.79,276.10,264.21,244.59,278.63,275.55,194.57,228.44,273.96,257.75,244.64,231.67,245.02
2018-02-02 22:17:27.894000,L8,308.83,294.06,283.40,275.09,280.96,282.45,308.32,306.71,299.80,303.96,307.29,306.75,301.15,294.99,300.38,305.36,320.64,335.76,336.92,341.15,341.16,333.25,322.05,321.96,319.23,320.86,323.81,452.06,434.45,477.43,332.64,278.19,283.33,346.09
2018-02-18 22:17:22.771000,L8,,,,,222.54,239.24,245.95,242.72,212.31,184.89,,240.33,232.83,203.25,,,,,,,,,,,,,,,,,,,,
