dates,satname,nzd0109-0000,nzd0109-0001,nzd0109-0002,nzd0109-0003,nzd0109-0004,nzd0109-0005,nzd0109-0006,nzd0109-0007,nzd0109-0008,nzd0109-0009,nzd0109-0010,nzd0109-0011,nzd0109-0012,nzd0109-0013,nzd0109-0014,nzd0109-0015,nzd0109-0016
2015-12-20 22:11:57.501000,L8,,,,,,,,213.21,248.48,256.22,288.13,,,,,291.21,315.24
2016-02-22 22:11:42.580000,L8,192.03,255.83,285.58,171.69,281.29,274.33,218.87,,,,,286.99,248.04,295.52,292.04,313.33,312.13
2016-03-09 22:11:40.902000,L8,208.22,258.16,269.37,172.69,283.83,304.88,280.10,305.36,250.10,292.85,281.55,288.60,295.00,297.77,300.05,291.34,251.85
2016-03-25 22:11:32.353000,L8,246.18,308.10,262.15,,,,,,253.62,306.12,175.34,290.26,295.16,295.04,296.18,309.49,313.28
2016-04-26 22:11:21.230000,L8,,,,172.83,284.53,304.45,305.42,305.29,294.43,312.36,286.50,287.35,296.14,293.30,287.01,206.86,307.89
2016-05-12 22:11:20.683000,L8,314.27,255.85,272.91,181.52,285.81,305.89,307.69,273.37,291.34,312.82,289.97,289.16,296.98,296.82,291.10,246.09,308.17
2016-06-13 22:11:30.674000,L8,202.85,256.92,276.17,188.91,285.95,307.94,213.82,311.63,315.53,310.96,282.17,291.97,294.43,293.76,298.66,312.29,309.02
2016-07-15 22:11:46.335000,L8,256.60,256.40,283.08,189.37,283.87,306.54,237.98,271.72,254.59,307.22,180.91,270.06,235.32,289.72,288.87,213.23,215.88
2016-08-16 22:11:53.694000,L8,309.11,255.32,232.45,181.67,283.60,303.20,264.61,304.66,310.58,310.45,,285.55,291.58,291.21,297.07,204.63,309.16
2016-11-04 22:12:09.415000,L8,,,,,,,,,235.88,306.41,179.20,284.00,291.37,292.78,295.72,205.44,310.81
2016-11-20 22:12:09.409000,L8,196.42,258.47,276.49,,280.08,274.44,,,310.94,304.16,183.82,286.42,258.23,290.83,289.88,203.41,312.35
2016-12-22 22:12:03.110000,L8,198.25,256.43,280.68,,,,,,,,,,,,,,
2017-06-16 22:11:31.847000,L8,201.56,257.11,205.86,192.59,286.16,311.88,196.60,,234.63,313.20,269.15,268.43,299.03,299.14,304.62,245.34,309.55
